2026-09-11 14:34:06,"DevOps Engineer - CI/CD, Python, SAP BTP",Brigosha Technologies,https://www.naukri.com/job-listings-devops-engineer-ci-cd-python-sap-btp-brigosha-technologies-bengaluru-2-to-5-years-310826500904,External company site
2026-09-11 14:34:48,DevOps Engineer,Apcell Infotech,https://www.naukri.com/job-listings-devops-engineer-ap-cell-infotech-pvt-ltd-bengaluru-2-to-5-years-230626501496,External company site
2026-09-11 14:34:51,DevOps Engineer,Apcell Infotech,https://www.naukri.com/job-listings-devops-engineer-ap-cell-infotech-pvt-ltd-bengaluru-2-to-5-years-230626501496?src=directSearch&sid=17891174398367405&xp=5&px=1,External company site
2026-09-11 14:34:56,DevOps Engineer,Sigma Allied Services,https://www.naukri.com/job-listings-devops-engineer-sigma-allied-services-private-limited-bengaluru-2-to-6-years-200726500538,External company site
2026-09-11 14:34:58,DevOps Engineer,Sigma Allied Services,https://www.naukri.com/job-listings-devops-engineer-sigma-allied-services-private-limited-bengaluru-2-to-6-years-200726500538?src=directSearch&sid=17891174398367405&xp=6&px=1,External company site
2026-09-11 14:35:03,Devops Engineer,Coverself Technologies,https://www.naukri.com/job-listings-devops-engineer-coverself-technologies-bengaluru-0-to-6-years-030826504172,External company site
2026-09-11 14:35:06,Devops Engineer,Coverself Technologies,https://www.naukri.com/job-listings-devops-engineer-coverself-technologies-bengaluru-0-to-6-years-030826504172?src=directSearch&sid=17891174398367405&xp=7&px=1,External company site
2026-09-11 14:35:09,Devops Engineer(CI/CD),Telloquent,https://www.naukri.com/job-listings-devops-engineer-ci-cd-telloquent-solutions-bengaluru-2-to-5-years-221125501530,External company site
2026-09-11 14:35:12,Devops Engineer(CI/CD),Telloquent,https://www.naukri.com/job-listings-devops-engineer-ci-cd-telloquent-solutions-bengaluru-2-to-5-years-221125501530?src=directSearch&sid=17891174398367405&xp=8&px=1,External company site
2026-09-11 14:35:15,DevOps Engineer,Dautom,https://www.naukri.com/job-listings-devops-engineer-dautom-bengaluru-2-to-6-years-190224502108,External company site
2026-09-11 14:35:18,DevOps Engineer,Dautom,https://www.naukri.com/job-listings-devops-engineer-dautom-bengaluru-2-to-6-years-190224502108?src=directSearch&sid=17891174398367405&xp=9&px=1,External company site
2026-09-11 14:35:21,Devops Engineer,Coderound Ai,https://www.naukri.com/job-listings-devops-engineer-coderound-ai-bengaluru-2-to-4-years-110826503742,External company site
2026-09-11 14:35:24,Devops Engineer,Coderound Ai,https://www.naukri.com/job-listings-devops-engineer-coderound-ai-bengaluru-2-to-4-years-110826503742?src=directSearch&sid=17891174398367405&xp=10&px=1,External company site
2026-09-11 14:35:27,DevOps Engineer,Auric Ai Labs,https://www.naukri.com/job-listings-devops-engineer-auric-ai-labs-bengaluru-0-to-2-years-270726503954,External company site
2026-09-11 14:35:30,DevOps Engineer,Auric Ai Labs,https://www.naukri.com/job-listings-devops-engineer-auric-ai-labs-bengaluru-0-to-2-years-270726503954?src=directSearch&sid=17891174398367405&xp=11&px=1,External company site
2026-09-11 14:35:33,DevOps Engineer,Simreka,https://www.naukri.com/job-listings-devops-engineer-simreka-devtaar-gmbh-bengaluru-1-to-3-years-210126502943,External company site
2026-09-11 14:35:36,DevOps Engineer,Simreka,https://www.naukri.com/job-listings-devops-engineer-simreka-devtaar-gmbh-bengaluru-1-to-3-years-210126502943?src=directSearch&sid=17891174398367405&xp=12&px=1,External company site
2026-09-11 14:35:39,DevOps Engineer,Accenture,https://www.naukri.com/job-listings-devops-engineer-accenture-solutions-pvt-ltd-bengaluru-2-to-7-years-240826913938,External company site
2026-09-11 14:35:42,DevOps Engineer,Accenture,https://www.naukri.com/job-listings-devops-engineer-accenture-solutions-pvt-ltd-bengaluru-2-to-7-years-240826913938?src=directSearch&sid=17891174398367405&xp=13&px=1,External company site
2026-09-11 14:35:45,DevOps Engineer (ETS),Apple,https://www.naukri.com/job-listings-devops-engineer-ets-apple-india-pvt-ltd-bengaluru-1-to-10-years-090726506008,External company site
2026-09-11 14:35:48,DevOps Engineer (ETS),Apple,https://www.naukri.com/job-listings-devops-engineer-ets-apple-india-pvt-ltd-bengaluru-1-to-10-years-090726506008?src=directSearch&sid=17891174398367405&xp=14&px=1,External company site
2026-09-11 14:35:51,DevOps Engineer,Logic Planet,https://www.naukri.com/job-listings-devops-engineer-logicplanet-it-services-hubli-mangaluru-mysuru-bengaluru-belgaum-0-to-5-years-240226505123,External company site
2026-09-11 14:35:55,DevOps Engineer,Logic Planet,https://www.naukri.com/job-listings-devops-engineer-logicplanet-it-services-hubli-mangaluru-mysuru-bengaluru-belgaum-0-to-5-years-240226505123?src=directSearch&sid=17891174398367405&xp=15&px=1,External company site
2026-09-11 14:35:58,DevOps Engineer,Isarva Infotech,https://www.naukri.com/job-listings-devops-engineer-isarva-infotech-private-limited-bengaluru-2-to-5-years-240426501814,External company site
2026-09-11 14:36:01,DevOps Engineer,Isarva Infotech,https://www.naukri.com/job-listings-devops-engineer-isarva-infotech-private-limited-bengaluru-2-to-5-years-240426501814?src=directSearch&sid=17891174398367405&xp=16&px=1,External company site
2026-09-11 14:36:04,DEVOPS ENGINEER,Cloud Counselage,https://www.naukri.com/job-listings-devops-engineer-cloud-counselage-pvt-ltd-bengaluru-2-to-3-years-301225507904,External company site
2026-09-11 14:36:07,DEVOPS ENGINEER,Cloud Counselage,https://www.naukri.com/job-listings-devops-engineer-cloud-counselage-pvt-ltd-bengaluru-2-to-3-years-301225507904?src=directSearch&sid=17891174398367405&xp=17&px=1,External company site
2026-09-11 14:36:10,DevOps Engineer,ADA Global,https://www.naukri.com/job-listings-devops-engineer-ada-global-bengaluru-2-to-4-years-230726505595,External company site
2026-09-11 14:36:13,DevOps Engineer,ADA Global,https://www.naukri.com/job-listings-devops-engineer-ada-global-bengaluru-2-to-4-years-230726505595?src=directSearch&sid=17891174398367405&xp=18&px=1,External company site
2026-09-11 14:36:16,Devops Engineer,Shopdeck,https://www.naukri.com/job-listings-devops-engineer-shopdeck-previously-nushop-bengaluru-1-to-2-years-170226504679,External company site
